date,sport,game_id,bet_type,legs,bet_label,odds,true_prob,implied_prob,edge,grade,kelly_frac,bet_amount,bankroll_before,result,pnl,bankroll_after,notes
2026-04-01,PARLAY,825106+824136,2-parlay,2,2-串（響尾蛇 勝、皇家 勝）,6.657,0.2496,0.1502,0.6614,PARLAY,0.0117,40,3000.0,WIN,226.0,3226.0,
2026-04-01,PARLAY,825106+824136+824211,3-parlay,3,3-串（響尾蛇 勝、皇家 勝、太空人 勝）,14.985,0.1385,0.0667,1.0758,PARLAY,0.0077,20,3226.0,WIN,280.0,3506.0,
2026-04-01,PARLAY,825106+824136+824211+823483+824860,5-parlay,5,5-串（響尾蛇 勝、皇家 勝、太空人 勝、國民 勝、遊騎兵 勝）,76.121,0.0397,0.0131,2.0217,PARLAY,0.0033,10.0,3506.0,LOSS,-10.0,3496.0,強制五關 NT$10
2026-04-02,PARLAY,825105+824621,2-parlay,2,2-串（勇士 勝、白襪 勝）,5.661,0.2581,0.1766,0.461,PARLAY,0.0029,10.0,3496.0,WIN,47.0,3543.0,強制多關 NT$10（候選不足 5 場，實際 2 關）
2026-04-03,PARLAY,824299+825103,2-parlay,2,2-串（紅雀 勝、勇士 勝）,4.775,0.4098,0.2094,0.9565,PARLAY,0.0253,90,3543.0,LOSS,-90,3453.0,
2026-04-03,PARLAY,824299+825103+824621+823732+824056,5-parlay,5,5-串（紅雀 勝、勇士 勝、藍鳥 勝、雙城 勝、水手 勝）,54.837,0.0557,0.0182,2.0526,PARLAY,0.0028,10.0,3453.0,LOSS,-10.0,3443.0,強制五關 NT$10
2026-04-04,PARLAY,825104+823239,2-parlay,2,2-串（勇士 勝、大都會 勝）,4.758,0.3735,0.2102,0.7768,PARLAY,0.0207,70,3443.0,LOSS,-70,3373.0,
2026-04-04,PARLAY,825104+823239+824134,3-parlay,3,3-串（勇士 勝、大都會 勝、釀酒人 勝）,9.782,0.2134,0.1022,1.0871,PARLAY,0.0124,40,3373.0,LOSS,-40,3333.0,
2026-04-04,PARLAY,825104+823239+824134+823569+823404,5-parlay,5,5-串（勇士 勝、大都會 勝、釀酒人 勝、洋基 勝、金鶯 勝）,50.686,0.0532,0.0197,1.6985,PARLAY,0.0029,10.0,3333.0,LOSS,-10.0,3323.0,強制五關 NT$10
2026-04-05,PARLAY,823729+824131+824460+823238+824459,5-parlay,5,5-串（雙城 勝、皇家 勝、守護者 勝、大都會 勝、守護者 勝）,91.63,0.0251,0.0109,1.2968,PARLAY,0.003,10.0,3323.0,LOSS,-10.0,3313.0,強制五關 NT$10
